object_id,separation_arcsec,modelling_outcome
Tile102009456RA0028744526103DECNEG0627141565579,0.79845,unknown
Tile102011614RA0450981742827DECNEG0595692241521,1.406581,successful
Tile102011653RA0829625359734DECNEG0593678626642,0.349835,unknown
Tile102014308RA0259433486528DECNEG0561762353084,1.069547,failure
Tile102014343RA0561615634077DECNEG0561310812627,0.943067,unknown
Tile102014701RA0126141761821DECNEG0553233945871,2.295196,unknown
Tile102014715RA0244500164129DECNEG0556273710845,1.184228,successful
Tile102014715RA0244505882027DECNEG0556272313718,1.184228,unknown
Tile102014765RA0675954820998DECNEG0554980767156,0.357431,unknown
Tile102015155RA0474755357492DECNEG0551003452879,0.280459,unknown
Tile102016018RA0628019290309DECNEG0542224129690,1.647554,successful
Tile102016407RA0286957024762DECNEG0533244901752,1.534655,failure
Tile102016415RA0355866659367DECNEG0534932652580,0.945757,successful
Tile102016484RA0930997483202DECNEG0533304669422,0.906116,successful
Tile102016489RA0973508563193DECNEG0535674149716,0.533962,failure
Tile102016854RA0390427500822DECNEG0528682065491,0.553223,successful
Tile102017279RA0278686500019DECNEG0527045257837,1.317437,unknown
Tile102017343RA0798239390993DECNEG0523683314646,0.809044,successful
Tile102017735RA0365678404733DECNEG0521388226336,1.175685,successful
Tile102017787RA0785994127239DECNEG0522466124652,0.653829,successful
Tile102018205RA0534514671873DECNEG0514071287132,0.414332,successful
Tile102018218RA0633491628699DECNEG0512971365536,1.618105,failure
Tile102018221RA0658168278639DECNEG0516738405643,2.712228,successful
Tile102019629RA0896714404242DECNEG0501809851648,2.511955,successful
Tile102019635RA0941592820083DECNEG0501343955867,0.580149,successful
Tile102020496RA0316685919070DECNEG0490545130154,0.576573,successful
Tile102020991RA0437194509613DECNEG0483795430032,0.926819,unknown
Tile102021960RA0430827388400DECNEG0475437015521,2.950705,successful
Tile102022434RA0298788160322DECNEG0471394260853,0.892137,successful
Tile102023937RA0294559848569DECNEG0456278955480,4.657401,unknown
Tile102025519RA0565309783982DECNEG0442271060973,0.517068,successful
Tile102025535RA0673957897047DECNEG0439345301428,1.778989,successful
Tile102027092RA0495317601944DECNEG0427463624888,1.899919,unknown
Tile102027100RA0552735511190DECNEG0426656419149,2.957004,unknown
Tile102027615RA0405126213056DECNEG0417504994386,1.106743,failure
Tile102031536RA0746544324593DECNEG0385528390868,0.875915,unknown
Tile102031541RA0779032002738DECNEG0386079490417,0.386741,unknown
Tile102032669RA0697817825002DECNEG0373997344065,1.175374,unknown
Tile102034392RA0591031263568DECNEG0360304042338,0.371394,unknown
Tile102034987RA0632781322400DECNEG0354012995315,0.368594,unknown
Tile102035010RA0776346749604DECNEG0355960412907,0.603709,unknown
Tile102035030RA0899564076501DECNEG0356701396714,0.775273,unknown
Tile102035578RA0634769718246DECNEG0351985096052,0.795105,unknown
Tile102035589RA0704855758042DECNEG0347724344577,0.505987,unknown
Tile102036155RA0533554676397DECNEG0344822597382,0.766805,unknown
Tile102036168RA0608667994767DECNEG0346049867306,3.228483,unknown
Tile102037362RA0580618466479DECNEG0335437445610,0.506597,unknown
Tile102038471RA3570376782980DECNEG0328714993330,2.476841,unknown
Tile102038539RA0365643145819DECNEG0325262849210,1.500479,unknown
Tile102039203RA0674657284724DECNEG0318867108217,1.000588,unknown
Tile102040313RA3561306331929DECNEG0316717211840,0.423673,unknown
Tile102040416RA0559971704970DECNEG0309292910239,1.240876,unknown
Tile102041042RA0583476906222DECNEG0305941546438,0.44139,unknown
Tile102041664RA0569359285521DECNEG0299628219356,0.438858,unknown
Tile102044086RA3573657649230DECNEG0286998441507,0.493688,unknown
Tile102046163RA0812438078494DECNEG0264193262172,2.162462,unknown
Tile102047432RA0644694022696DECNEG0253405785142,2.475485,unknown
Tile102047454RA0768635248175DECNEG0254613363898,1.831875,unknown
Tile102047456RA0776189661236DECNEG0254313874243,0.602357,unknown
Tile102048741RA0638648704308DECNEG0246723983101,0.76115,unknown
Tile102056799RA0635615549453DECNEG0186234504514,1.986968,unknown
Tile102090119RA0132969665639DEC0047670123327,1.383917,unknown
Tile102140337RA2161347604081DEC0436799393223,0.852207,unknown
Tile102141380RA2144863521111DEC0443968749861,3.42987,unknown
Tile102152118RA2620378598047DEC0562326574796,0.342653,unknown
Tile102156621RA2612805303388DEC0618506480517,3.315738,unknown
Tile102156852RA1445886151899DEC0624315073028,0.570155,unknown
Tile102156856RA1485723206341DEC0624768812718,0.349868,unknown
Tile102156966RA2660036097213DEC0625519440913,0.43816,unknown
Tile102157300RA2650701388702DEC0629404590390,1.710778,unknown
Tile102158163RA1438253012756DEC0643693388855,1.922632,unknown
Tile102159135RA2013776261759DEC0661375090112,0.618747,unknown
Tile102160565RA2126225747889DEC0682963549743,0.589647,unknown
