/home/jammy/Code/PyAutoLabs/PyAutoConf/autoconf/workspace.py:173: UserWarning: Cannot verify the workspace at /home/jammy/Code/PyAutoLabs/autolens_assistant matches the installed library version (2026.5.21.1): no `version.workspace_version` key in config/general.yaml and no version.txt at the workspace root.

If you cloned the workspace from `main` rather than a release tag, set `version.workspace_version_check: False` in config/general.yaml to silence this warning. The `main` branch updates more frequently than library releases, so version mismatches are expected and not actionable for `main`-branch users.

You can also set the environment variable PYAUTO_SKIP_WORKSPACE_VERSION_CHECK=1 to disable temporarily.
  warnings.warn(_missing_version_warning(root, library_version))
2026-05-22 17:52:48,899 - jax_plugins.xla_cuda12 - WARNING - cuda_plugin_extension is not found.
2026-05-22 17:52:49,271 - autoarray.dataset.imaging.dataset - INFO - IMAGING - Data masked, contains a total of 7825 image-pixels
2026-05-22 17:52:49,274 - autoarray.dataset.imaging.dataset - INFO - IMAGING - Data noise scaling applied, a total of 37658 pixels were scaled to large noise values.
Total Free Parameters = 21

model                                                                           Collection (N=21)
    galaxies                                                                    Collection (N=21)
        lens                                                                    Galaxy (N=14)
            bulge                                                               Sersic (N=7)
            mass                                                                Isothermal (N=5)
            shear                                                               ExternalShear (N=2)
        source                                                                  Galaxy (N=7)
            bulge                                                               SersicCore (N=7)

galaxies
    lens
        redshift                                                                2.0
        bulge
            centre
                centre_0                                                        GaussianPrior [0], mean = 0.0, sigma = 0.3
                centre_1                                                        GaussianPrior [1], mean = 0.0, sigma = 0.3
            ell_comps
                ell_comps_0                                                     TruncatedGaussianPrior [2], mean = 0.0, sigma = 0.3, lower_limit = -1.0, upper_limit = 1.0
                ell_comps_1                                                     TruncatedGaussianPrior [3], mean = 0.0, sigma = 0.3, lower_limit = -1.0, upper_limit = 1.0
            intensity                                                           LogUniformPrior [4], lower_limit = 1e-06, upper_limit = 1000000.0
            effective_radius                                                    UniformPrior [5], lower_limit = 0.0, upper_limit = 30.0
            sersic_index                                                        UniformPrior [6], lower_limit = 0.8, upper_limit = 5.0
        mass
            centre
                centre_0                                                        GaussianPrior [7], mean = 0.0, sigma = 0.1
                centre_1                                                        GaussianPrior [8], mean = 0.0, sigma = 0.1
            ell_comps
                ell_comps_0                                                     TruncatedGaussianPrior [9], mean = 0.0, sigma = 0.3, lower_limit = -1.0, upper_limit = 1.0
                ell_comps_1                                                     TruncatedGaussianPrior [10], mean = 0.0, sigma = 0.3, lower_limit = -1.0, upper_limit = 1.0
            einstein_radius                                                     UniformPrior [11], lower_limit = 0.0, upper_limit = 8.0
        shear
            gamma_1                                                             UniformPrior [12], lower_limit = -0.3, upper_limit = 0.3
            gamma_2                                                             UniformPrior [13], lower_limit = -0.3, upper_limit = 0.3
    source
        redshift                                                                5.1043
        bulge
            centre
                centre_0                                                        GaussianPrior [14], mean = 0.0, sigma = 0.3
                centre_1                                                        GaussianPrior [15], mean = 0.0, sigma = 0.3
            ell_comps
                ell_comps_0                                                     TruncatedGaussianPrior [16], mean = 0.0, sigma = 0.3, lower_limit = -1.0, upper_limit = 1.0
                ell_comps_1                                                     TruncatedGaussianPrior [17], mean = 0.0, sigma = 0.3, lower_limit = -1.0, upper_limit = 1.0
            effective_radius                                                    UniformPrior [18], lower_limit = 0.0, upper_limit = 30.0
            alpha - sersic_index                                                UniformPrior [19], lower_limit = 0.8, upper_limit = 5.0
            radius_break                                                        0.025
            intensity                                                           LogUniformPrior [20], lower_limit = 1e-05, upper_limit = 1000.0
            gamma                                                               0.25
2026-05-22 17:52:49,952 - autofit.non_linear.search.abstract_search - INFO - Starting non-linear search with JAX (CPU: cpu).
2026-05-22 17:52:51,648 - parametric_sie_sersic - INFO - The output path of this fit is /home/jammy/Code/PyAutoLabs/autolens_assistant/output/imaging/cosmos_web_ring/F277W/parametric_sie_sersic/cd722fc3d8cec68bc606b5880ea79f9c
2026-05-22 17:52:51,648 - parametric_sie_sersic - INFO - Outputting pre-fit files (e.g. model.info, visualization).
2026-05-22 17:52:52,887 - parametric_sie_sersic - INFO - Starting new Nautilus non-linear search (no previous samples found).
2026-05-22 17:52:52,887 - autofit.non_linear.fitness - INFO - JAX: Applying vmap and jit to likelihood function -- may take a few seconds.
2026-05-22 17:52:52,887 - autofit.non_linear.fitness - INFO - JAX: vmap and jit applied in 0.00017833709716796875 seconds.
2026-05-22 17:52:52,887 - parametric_sie_sersic - INFO - Running search with JAX vectorization (parallelization handled by JAX).
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Sampling  | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Computing | 1      | 0        | 0        | 0        | 1.0000 | 0     | N/A      
Sampling  | 1      | 0        | 0        | 100      | 1.0000 | 1     | -146734.5
Computing | 1      | 0        | 0        | 100      | 1.0000 | 1     | -146734.5
Bounding  | 1      | 0        | 0        | 200      | 1.0000 | 1     | -146735.2
Sampling  | 2      | 1        | 4        | 200      | 1.0000 | 1     | -60931888
Computing | 2      | 1        | 4        | 200      | 1.0000 | 1     | -60931888
Sampling  | 2      | 1        | 4        | 300      | 1.0000 | 1     | -146736.4
Computing | 2      | 1        | 4        | 300      | 1.0000 | 1     | -146736.4
Bounding  | 2      | 1        | 4        | 400      | 1.0000 | 1     | -146712.1
Sampling  | 3      | 1        | 4        | 400      | 1.0000 | 2     | -148108.9
Computing | 3      | 1        | 4        | 400      | 1.0000 | 2     | -148108.9
Sampling  | 3      | 1        | 4        | 500      | 1.0000 | 1     | -146713.0
Computing | 3      | 1        | 4        | 500      | 1.0000 | 1     | -146713.0
Bounding  | 3      | 1        | 4        | 600      | 1.0000 | 1     | -146664.6
Sampling  | 4      | 1        | 4        | 600      | 1.0000 | 1     | -147543.3
Computing | 4      | 1        | 4        | 600      | 1.0000 | 1     | -147543.3
Sampling  | 4      | 1        | 4        | 700      | 1.0000 | 1     | -146665.3
Computing | 4      | 1        | 4        | 700      | 1.0000 | 1     | -146665.3
Sampling  | 4      | 1        | 4        | 800      | 1.0000 | 1     | -146665.7
Computing | 4      | 1        | 4        | 800      | 1.0000 | 1     | -146665.7
Bounding  | 4      | 1        | 4        | 900      | 1.0000 | 1     | -146666.0
Sampling  | 5      | 1        | 4        | 900      | 1.0000 | 1     | -147106.3
Computing | 5      | 1        | 4        | 900      | 1.0000 | 1     | -147106.3
Sampling  | 5      | 1        | 4        | 1000     | 1.0000 | 1     | -146666.4
Computing | 5      | 1        | 4        | 1000     | 1.0000 | 1     | -146666.4
Sampling  | 5      | 1        | 4        | 1100     | 1.0000 | 1     | -146666.8
Computing | 5      | 1        | 4        | 1100     | 1.0000 | 1     | -146666.8
Sampling  | 5      | 1        | 4        | 1200     | 1.0000 | 1     | -146667.1
Computing | 5      | 1        | 4        | 1200     | 1.0000 | 1     | -146667.1
Bounding  | 5      | 1        | 4        | 1300     | 1.0000 | 1     | -146587.4
Sampling  | 6      | 1        | 4        | 1300     | 1.0000 | 2     | -146880.3
Computing | 6      | 1        | 4        | 1300     | 1.0000 | 2     | -146880.3
Sampling  | 6      | 1        | 4        | 1400     | 1.0000 | 1     | -146665.0
Computing | 6      | 1        | 4        | 1400     | 1.0000 | 1     | -146665.0
Sampling  | 6      | 1        | 4        | 1500     | 1.0000 | 1     | -146588.1
Computing | 6      | 1        | 4        | 1500     | 1.0000 | 1     | -146588.1
Sampling  | 6      | 1        | 4        | 1600     | 1.0000 | 1     | -146588.4
Computing | 6      | 1        | 4        | 1600     | 1.0000 | 1     | -146588.4
Bounding  | 6      | 1        | 4        | 1700     | 1.0000 | 1     | -146588.6
Sampling  | 7      | 1        | 4        | 1700     | 1.0000 | 3     | -146789.9
Computing | 7      | 1        | 4        | 1700     | 1.0000 | 3     | -146789.9
Sampling  | 7      | 1        | 4        | 1800     | 1.0000 | 1     | -146589.0
Computing | 7      | 1        | 4        | 1800     | 1.0000 | 1     | -146589.0
Sampling  | 7      | 1        | 4        | 1900     | 1.0000 | 1     | -146589.5
Computing | 7      | 1        | 4        | 1900     | 1.0000 | 1     | -146589.5
Sampling  | 7      | 1        | 4        | 2000     | 1.0000 | 1     | -146589.7
Computing | 7      | 1        | 4        | 2000     | 1.0000 | 1     | -146589.7
Bounding  | 7      | 1        | 4        | 2100     | 1.0000 | 1     | -146590.0
Sampling  | 8      | 1        | 4        | 2100     | 1.0000 | 5     | -146733.9
Computing | 8      | 1        | 4        | 2100     | 1.0000 | 5     | -146733.9
Sampling  | 8      | 1        | 4        | 2200     | 1.0000 | 1     | -146584.0
Computing | 8      | 1        | 4        | 2200     | 1.0000 | 1     | -146584.0
Sampling  | 8      | 1        | 4        | 2300     | 1.0000 | 1     | -146561.9
Computing | 8      | 1        | 4        | 2300     | 1.0000 | 1     | -146561.9
Bounding  | 8      | 1        | 4        | 2400     | 1.0000 | 1     | -146562.2
Sampling  | 9      | 1        | 4        | 2400     | 1.0000 | 3     | -146701.4
Computing | 9      | 1        | 4        | 2400     | 1.0000 | 3     | -146701.4
Sampling  | 9      | 1        | 4        | 2500     | 1.0000 | 1     | -146562.1
Computing | 9      | 1        | 4        | 2500     | 1.0000 | 1     | -146562.1
Sampling  | 9      | 1        | 4        | 2600     | 1.0000 | 1     | -146534.0
Computing | 9      | 1        | 4        | 2600     | 1.0000 | 1     | -146534.0
Sampling  | 9      | 1        | 4        | 2700     | 1.0000 | 1     | -146534.3
Computing | 9      | 1        | 4        | 2700     | 1.0000 | 1     | -146534.3
Sampling  | 9      | 1        | 4        | 2800     | 1.0000 | 1     | -146534.5
Computing | 9      | 1        | 4        | 2800     | 1.0000 | 1     | -146534.5
Bounding  | 9      | 1        | 4        | 2900     | 1.0000 | 1     | -146505.5
Sampling  | 10     | 1        | 4        | 2900     | 1.0000 | 7     | -146667.6
Computing | 10     | 1        | 4        | 2900     | 1.0000 | 7     | -146667.6
Sampling  | 10     | 1        | 4        | 3000     | 1.0000 | 1     | -146532.0
Computing | 10     | 1        | 4        | 3000     | 1.0000 | 1     | -146532.0
Sampling  | 10     | 1        | 4        | 3100     | 1.0000 | 1     | -146505.9
Computing | 10     | 1        | 4        | 3100     | 1.0000 | 1     | -146505.9
Sampling  | 10     | 1        | 4        | 3200     | 1.0000 | 1     | -146482.7
Computing | 10     | 1        | 4        | 3200     | 1.0000 | 1     | -146482.7
Sampling  | 10     | 1        | 4        | 3300     | 1.0000 | 1     | -146482.9
Computing | 10     | 1        | 4        | 3300     | 1.0000 | 1     | -146482.9
Bounding  | 10     | 1        | 4        | 3400     | 1.0000 | 1     | -146483.1
Sampling  | 11     | 1        | 4        | 3400     | 1.0000 | 4     | -146631.0
Computing | 11     | 1        | 4        | 3400     | 1.0000 | 4     | -146631.0
Sampling  | 11     | 1        | 4        | 3500     | 1.0000 | 1     | -146447.6
Computing | 11     | 1        | 4        | 3500     | 1.0000 | 1     | -146447.6
Sampling  | 11     | 1        | 4        | 3600     | 1.0000 | 1     | -146367.6
Computing | 11     | 1        | 4        | 3600     | 1.0000 | 1     | -146367.6
Sampling  | 11     | 1        | 4        | 3700     | 1.0000 | 1     | -146367.9
Computing | 11     | 1        | 4        | 3700     | 1.0000 | 1     | -146367.9
Sampling  | 11     | 1        | 4        | 3800     | 1.0000 | 1     | -146368.1
Computing | 11     | 1        | 4        | 3800     | 1.0000 | 1     | -146368.1
Bounding  | 11     | 1        | 4        | 3900     | 1.0000 | 1     | -146368.3
Sampling  | 12     | 1        | 4        | 3900     | 1.0000 | 4     | -146597.9
Computing | 12     | 1        | 4        | 3900     | 1.0000 | 4     | -146597.9
Sampling  | 12     | 1        | 4        | 4000     | 1.0000 | 1     | -146367.9
Computing | 12     | 1        | 4        | 4000     | 1.0000 | 1     | -146367.9
Sampling  | 12     | 1        | 4        | 4100     | 1.0000 | 1     | -146368.7
Computing | 12     | 1        | 4        | 4100     | 1.0000 | 1     | -146368.7
Sampling  | 12     | 1        | 4        | 4200     | 1.0000 | 1     | -146368.9
Computing | 12     | 1        | 4        | 4200     | 1.0000 | 1     | -146368.9
Bounding  | 12     | 1        | 4        | 4300     | 1.0000 | 1     | -146369.2
Sampling  | 13     | 1        | 4        | 4300     | 1.0000 | 5     | -146557.0
Computing | 13     | 1        | 4        | 4300     | 1.0000 | 5     | -146557.0
Sampling  | 13     | 1        | 4        | 4400     | 1.0000 | 1     | -146329.4
Computing | 13     | 1        | 4        | 4400     | 1.0000 | 1     | -146329.4
Sampling  | 13     | 1        | 4        | 4500     | 1.0000 | 1     | -146325.3
Computing | 13     | 1        | 4        | 4500     | 1.0000 | 1     | -146325.3
Sampling  | 13     | 1        | 4        | 4600     | 1.0000 | 1     | -146325.5
Computing | 13     | 1        | 4        | 4600     | 1.0000 | 1     | -146325.5
Bounding  | 13     | 1        | 4        | 4700     | 1.0000 | 1     | -146290.0
Sampling  | 14     | 1        | 4        | 4700     | 1.0000 | 3     | -146511.5
Computing | 14     | 1        | 4        | 4700     | 1.0000 | 3     | -146511.5
Sampling  | 14     | 1        | 4        | 4800     | 1.0000 | 1     | -146290.1
Computing | 14     | 1        | 4        | 4800     | 1.0000 | 1     | -146290.1
Sampling  | 14     | 1        | 4        | 4900     | 1.0000 | 1     | -146276.8
Computing | 14     | 1        | 4        | 4900     | 1.0000 | 1     | -146276.8
Bounding  | 14     | 1        | 4        | 5000     | 1.0000 | 1     | -146277.1
Sampling  | 15     | 1        | 4        | 5000     | 1.0000 | 4     | -146469.9
Computing | 15     | 1        | 4        | 5000     | 1.0000 | 4     | -146469.9
Sampling  | 15     | 1        | 4        | 5100     | 1.0000 | 1     | -146268.8
Computing | 15     | 1        | 4        | 5100     | 1.0000 | 1     | -146268.8
Sampling  | 15     | 1        | 4        | 5200     | 1.0000 | 1     | -146244.6
Computing | 15     | 1        | 4        | 5200     | 1.0000 | 1     | -146244.6
Sampling  | 15     | 1        | 4        | 5300     | 1.0000 | 1     | -146244.9
Computing | 15     | 1        | 4        | 5300     | 1.0000 | 1     | -146244.9
Bounding  | 15     | 1        | 4        | 5400     | 1.0000 | 1     | -146179.9
Sampling  | 16     | 1        | 4        | 5400     | 1.0000 | 7     | -146422.0
Computing | 16     | 1        | 4        | 5400     | 1.0000 | 7     | -146422.0
Sampling  | 16     | 1        | 4        | 5500     | 1.0000 | 1     | -146180.1
Computing | 16     | 1        | 4        | 5500     | 1.0000 | 1     | -146180.1
Sampling  | 16     | 1        | 4        | 5600     | 1.0000 | 1     | -146180.5
Computing | 16     | 1        | 4        | 5600     | 1.0000 | 1     | -146180.5
Bounding  | 16     | 1        | 4        | 5700     | 1.0000 | 1     | -146180.8
Sampling  | 17     | 1        | 4        | 5700     | 1.0000 | 4     | -146370.0
Computing | 17     | 1        | 4        | 5700     | 1.0000 | 4     | -146370.0
Sampling  | 17     | 1        | 4        | 5800     | 1.0000 | 1     | -146197.4
Computing | 17     | 1        | 4        | 5800     | 1.0000 | 1     | -146197.4
Sampling  | 17     | 1        | 4        | 5900     | 1.0000 | 1     | -146181.5
Computing | 17     | 1        | 4        | 5900     | 1.0000 | 1     | -146181.5
Sampling  | 17     | 1        | 4        | 6000     | 1.0000 | 1     | -146181.8
Computing | 17     | 1        | 4        | 6000     | 1.0000 | 1     | -146181.8
Bounding  | 17     | 1        | 4        | 6100     | 1.0000 | 1     | -146182.0
Sampling  | 18     | 1        | 4        | 6100     | 1.0000 | 2     | -146322.6
Computing | 18     | 1        | 4        | 6100     | 1.0000 | 2     | -146322.6
Sampling  | 18     | 1        | 4        | 6200     | 1.0000 | 3     | -146226.4
Computing | 18     | 1        | 4        | 6200     | 1.0000 | 3     | -146226.4
Sampling  | 18     | 1        | 4        | 6300     | 1.0000 | 1     | -146182.6
Computing | 18     | 1        | 4        | 6300     | 1.0000 | 1     | -146182.6
Sampling  | 18     | 1        | 4        | 6400     | 1.0000 | 1     | -146182.8
Computing | 18     | 1        | 4        | 6400     | 1.0000 | 1     | -146182.8
Sampling  | 18     | 1        | 4        | 6500     | 1.0000 | 1     | -146183.1
Computing | 18     | 1        | 4        | 6500     | 1.0000 | 1     | -146183.1
Bounding  | 18     | 1        | 4        | 6600     | 1.0000 | 1     | -146183.2
Sampling  | 19     | 1        | 4        | 6600     | 1.0000 | 3     | -146283.7
Computing | 19     | 1        | 4        | 6600     | 1.0000 | 3     | -146283.7
Sampling  | 19     | 1        | 4        | 6700     | 1.0000 | 1     | -146209.1
Computing | 19     | 1        | 4        | 6700     | 1.0000 | 1     | -146209.1
Sampling  | 19     | 1        | 4        | 6800     | 1.0000 | 1     | -146185.1
Computing | 19     | 1        | 4        | 6800     | 1.0000 | 1     | -146185.1
Sampling  | 19     | 1        | 4        | 6900     | 1.0000 | 1     | -146183.8
Computing | 19     | 1        | 4        | 6900     | 1.0000 | 1     | -146183.8
Sampling  | 19     | 1        | 4        | 7000     | 1.0000 | 1     | -146184.0
Computing | 19     | 1        | 4        | 7000     | 1.0000 | 1     | -146184.0
Sampling  | 19     | 1        | 4        | 7100     | 1.0000 | 2     | -146183.9
Computing | 19     | 1        | 4        | 7100     | 1.0000 | 2     | -146183.9
Bounding  | 19     | 1        | 4        | 7200     | 1.0000 | 2     | -146184.0
Sampling  | 20     | 1        | 4        | 7200     | 1.0000 | 4     | -146255.2
Computing | 20     | 1        | 4        | 7200     | 1.0000 | 4     | -146255.2
Sampling  | 20     | 1        | 4        | 7300     | 1.0000 | 2     | -146183.9
Computing | 20     | 1        | 4        | 7300     | 1.0000 | 2     | -146183.9
Sampling  | 20     | 1        | 4        | 7400     | 1.0000 | 2     | -146184.5
Computing | 20     | 1        | 4        | 7400     | 1.0000 | 2     | -146184.5
Sampling  | 20     | 1        | 4        | 7500     | 1.0000 | 4     | -146184.1
Computing | 20     | 1        | 4        | 7500     | 1.0000 | 4     | -146184.1
Sampling  | 20     | 1        | 4        | 7600     | 1.0000 | 4     | -146184.3
Computing | 20     | 1        | 4        | 7600     | 1.0000 | 4     | -146184.3
Sampling  | 20     | 1        | 4        | 7700     | 1.0000 | 1     | -146177.3
Computing | 20     | 1        | 4        | 7700     | 1.0000 | 1     | -146177.3
Bounding  | 20     | 1        | 4        | 7800     | 1.0000 | 1     | -146177.5
Sampling  | 21     | 1        | 4        | 7800     | 1.0000 | 15    | -146229.2
Computing | 21     | 1        | 4        | 7800     | 1.0000 | 15    | -146229.2
Sampling  | 21     | 1        | 4        | 7900     | 1.0000 | 1     | -146183.0
Computing | 21     | 1        | 4        | 7900     | 1.0000 | 1     | -146183.0
Sampling  | 21     | 1        | 4        | 8000     | 1.0000 | 1     | -146177.5
Computing | 21     | 1        | 4        | 8000     | 1.0000 | 1     | -146177.5
Sampling  | 21     | 1        | 4        | 8100     | 1.0000 | 1     | -146177.9
Computing | 21     | 1        | 4        | 8100     | 1.0000 | 1     | -146177.9
Sampling  | 21     | 1        | 4        | 8200     | 1.0000 | 1     | -146178.0
Computing | 21     | 1        | 4        | 8200     | 1.0000 | 1     | -146178.0
Bounding  | 21     | 1        | 4        | 8300     | 1.0000 | 1     | -146178.1
Sampling  | 22     | 1        | 4        | 8300     | 1.0000 | 10    | -146214.2
Computing | 22     | 1        | 4        | 8300     | 1.0000 | 10    | -146214.2
Sampling  | 22     | 1        | 4        | 8400     | 1.0000 | 1     | -146179.3
Computing | 22     | 1        | 4        | 8400     | 1.0000 | 1     | -146179.3
Sampling  | 22     | 1        | 4        | 8500     | 1.0000 | 1     | -146178.3
Computing | 22     | 1        | 4        | 8500     | 1.0000 | 1     | -146178.3
Sampling  | 22     | 1        | 4        | 8600     | 1.0000 | 1     | -146178.6
Computing | 22     | 1        | 4        | 8600     | 1.0000 | 1     | -146178.6
